Unnamed: 0,German,English
0,sein,be
1,ich,I
2,nicht,Not
3,sie Sie,she you
4,du,you
5,das,the
6,die,the
7,es,it
8,und,and
9,der,the
10,zu,to
11,sie,you
12,das,the
13,ein,a 
14,in,in
15,wir,we
16,du Du,you you
17,mir,me
18,mit,With
19,was,What
20,der,the
21,mich,me
22,was,What
23,auf,on
24,dass,that
25,er,he
26,eine,one
27,es,it
28,haben,to have
29,wir,we
30,und,and
31,so,so
32,sein,be
33,von,from
34,dich,you
35,war,was
36,haben,to have
37,ja,Yes
38,hier,here
39,an,on
40,haben,to have
41,er,he
42,sein,be
43,wie,how
44,noch,still
45,dir,to you
46,uns,us
47,sich,itself
48,die,the
49,nur,only 
50,ein,a 
51,nein,no
53,ihn,him
54,auch,also
55,haben,to have
56,sein,be
57,ihr,her
58,da,there
59,aus,out
60,können,be able
61,aber,but
62,aber,but
63,schon,beautiful
64,wenn,if
65,werden,will
66,um,around
67,wie,how
68,als,as
69,sein,be
70,in,in
71,mal,times
72,doch,yet
73,gut,Well
74,mein,my
75,jetzt,now
76,wissen,to know
77,wenn,if
78,werden,will
80,nach,after
81,ja,Yes
82,oh,Oh
83,oder,or
84,dann,then
85,wollen,want
86,mein,my
87,mehr,more
88,kein,no
89,etwas,some
90,alles,all
91,müssen,have to
92,immer,always
93,nichts,Nothing
94,man,one
95,wieder,again
96,bei,at
97,haben,to have
98,machen,make
99,vor,before
100,Mann,Man
101,ihm,him
102,ein,a 
103,tun,do
104,zu,to
105,können,be able
106,sagen,to say
107,werden,will
108,denn,then
109,sein,be
110,ein,a 
111,warum,why
112,einer ein,one one
113,gehen,walk
114,sehen,see
115,sehr,very
116,gehen,walk
117,alle,Everyone
118,über,above
119,müssen,have to
120,dieser,this
121,einfach,easy
122,euch,you
123,der,the
124,nie,never
125,also,so
126,wo,Where
127,los,Come on
128,Zeit,time
129,ihnen Ihnen,them you
130,geben,give
131,wirklich,really
132,hey,hey
133,danke,thanks
134,dein,your
135,werden,will
136,sollen,must
137,da,there
138,haben,to have
139,hier,here
140,wissen,to know
141,bitte,You're welcome
142,viel,a lot of
144,so,so
145,sagen,to say
146,ihr Ihr,You yours
147,an,on
148,kein,no
149,kommen,come
150,wer,who
151,zurück,return
152,werden,will
153,in,in
154,wollen,want
155,Frau,Woman
156,leben Leben,live life
157,sein,be
158,wo,Where
159,damit,in order to
160,nicht,Not
161,Gott,God
162,Leute,people
163,können,be able
164,heute,today
165,mein,my
166,dieser,this
167,dein,your
168,kommen,come
169,kommen,come
170,wollen,want
171,na,n / A
172,wollen,want
173,sicher,secure
174,ganz,all
175,jetzt,now
176,mein,my
177,Mr.,Mr.
178,also,so
179,zu,to
180,haben,to have
181,gut,Well
182,haben,to have
183,weil,because
184,tun,do
185,hallo,Hello
186,okay,OK
187,machen,make
188,sein,be
189,bis,until
190,vielleicht,perhaps
191,können,be able
192,ein,a 
193,bitte Bitte,Please please
194,weg,away
195,sein,be
196,lassen,to let
198,sehen,see
199,nun,well
200,gerade,just
201,alles,all
202,glauben,believe
203,Tag,Day
204,ab,away
205,Geld,money
206,machen,make
207,nein,no
208,Sir,Sir
209,sollen,must
210,sagen,to say
211,kein,no
212,durch,through
213,zwei,two
214,dieser,this
215,passieren,happen
216,wohl,probably
217,vielleicht,perhaps
218,ihre,their
219,Mutter,mother
220,reden,talk
